_id,app,appVersion,reviewText,author,date,ratingStars,ArDoc classification,classification,class1,class2,class3,copied to 30each,class4,class5
578939b1819cb7066ab3fd44,A Comic Viewer,1.4.1.4,"Impresive I think it should have a full 5 stars! It dosnt take up hardly any space it reads comics well, no noticable sluging allthough I think it may have a bug and if you have the right apps you can make your own comics and read them or shair them!",A Google User,29/10/12,5,PROBLEM_DISCOVERY,,MEMORY,PERFORMANCE,,,,
578939a2819cb7066ab3fd43,A Comic Viewer,1.4.1.4,"Clean controls, cbr problems It's relatively quick and has nice control settings, but I find it often has odd memory errors in cbr files that prevent their viewing. Perfect Viewer has no problem opening the same files, but I find the usability of this app to be superior - when it works.",A Google User,31/10/12,3,PROBLEM_DISCOVERY,,UI,MEMORY,APP USABILITY,,ERROR,
578939a2819cb7066ab3fd42,A Comic Viewer,1.4.1.4,"There's a better option, guys. I don't normally post comments or ratings for apps but I felt it was worth pointing out to people that, while this app does get the job done, it was simply too much of a hassle to use, and 9 times out of 10 a comic would give me a memory crash error at some point. Perfect Viewer has so far performed significantly better for me, and not once have I ran into any problems with it.",A Google User,03/11/12,3,OTHER,,APP USABILITY,MEMORY,ERROR,,,
5789399b819cb7066ab3fd41,A Comic Viewer,1.4.1.4,Slow and Unresponsive Swipe to go to turn page often takes 4 or 5 attempts. Slow to load next page compared to other image viewers.,A Google User,04/11/12,3,OTHER,,PERFORMANCE,UI,ERROR,,,
57893998819cb7066ab3fd3c,A Comic Viewer,1.4.1.4,"Would be perfect if... This app has a very nice interface, but struggles too often displaying even simple comic files, while other readers have no issues at all. When they fix its reliability I will give it another shot as well as a 5-star review.",A Google User,05/11/12,3,INFORMATION_GIVING,,UI,ERROR,,,,
57893998819cb7066ab3fd3d,A Comic Viewer,1.4.1.4,Spot on,A Google User,05/11/12,5,OTHER,,OTHER,,,,,
57893998819cb7066ab3fd3e,A Comic Viewer,1.4.1.4,Could be good but..... Keeps crashing on SGS2 Claims out if memory error as in other reports. Looks good otherwise,A Google User,05/11/12,1,OTHER,,MEMORY,ERROR,DEVICE,,,
57893998819cb7066ab3fd3f,A Comic Viewer,1.4.1.4,"Best Comic Reader Simple, lightweight, customizable.",A Google User,05/11/12,5,OTHER,,PERFORMANCE,,,,,
5789399b819cb7066ab3fd40,A Comic Viewer,1.4.1.4,"It ain't too bad. This is a great app, when it works. I would still recommend it, but the message that a memory error has been found is highly annoying. Needs to be fixed as I'm sure there is no memory error.",A Google User,05/11/12,3,OTHER,,MEMORY,ERROR,,,,
57893994819cb7066ab3fd3b,A Comic Viewer,1.4.1.4,Fail Does not read from sd card even after mounted. Reads from internal memory only. Droid x2,A Google User,06/11/12,1,OTHER,,HARDWARE,DEVICE,ERROR,,,
57893994819cb7066ab3fd3a,A Comic Viewer,1.4.1.4,"Can't use Galaxy s2, flipping to next page in landscape mode causes possible out of memory messages. I've got plenty of memory free though. Simply can't use it. Other comic viewers work just fine.",A Google User,08/11/12,1,OTHER,,DEVICE,MEMORY,APP USABILITY,,ERROR,
57893994819cb7066ab3fd38,A Comic Viewer,1.4.1.4,"Average for now Pretty comfortable and easy to use, but refuses to display some pages that work with all other comic book readers.",A Google User,09/11/12,3,OTHER,,APP USABILITY,ERROR,,,,
57893994819cb7066ab3fd39,A Comic Viewer,1.4.1.4,Update add ads popup,A Google User,09/11/12,2,OTHER,,LICENSING,UI,,,,
57893991819cb7066ab3fd37,A Comic Viewer,1.4.1.4,"Good app Best for manga, but not good for. Rar",A Google User,10/11/12,5,OTHER,,OTHER,,,,,
57893991819cb7066ab3fd36,A Comic Viewer,1.4.1.4,"No updates? Nothing? I've downgraded my review from 5 to 2 stars because I'm having to use another app for cbr files. How long is it going to take to get cbr support out of beta? This would be the best comic reader out there if only the dev would sort out the issues. Until then, I'll be using a reader that actually works.",A Google User,15/11/12,2,OTHER,,ERROR,,,,,
57893991819cb7066ab3fd35,A Comic Viewer,1.4.1.4,Not good. I've got a phone with 2GB of RAM and it is running out of memory?,A Google User,18/11/12,1,OTHER,,MEMORY,HARDWARE,ERROR,,,
5789398e819cb7066ab3fd34,A Comic Viewer,1.4.1.4,Rubbish No load folder option and claims to be a manga reader yeah good luck this app is an insult to real apps...,A Google User,19/11/12,1,OTHER,,UI,,,,,
5789398e819cb7066ab3fd33,A Comic Viewer,1.4.1.4,"Exactly what i was looking for Good settings, great usability, perfect for me!!!!!",A Google User,20/11/12,5,OTHER,,APP USABILITY,,,,,
5789398e819cb7066ab3fd32,A Comic Viewer,1.4.1.4,Very Intuitive but has Problems Consistently runs out of memory. This program requires too much effort for leisure time. If it stops running out of memory it could be the best reader out there. Keeping it installed hoping for fixes.,A Google User,21/11/12,3,OTHER,,MEMORY,APP USABILITY,ERROR,,,
5789398b819cb7066ab3fd31,A Comic Viewer,1.4.1.4,Oops Can't stand the oops error. uninstall,A Google User,24/11/12,2,OTHER,,ERROR,,,,,
5789398b819cb7066ab3fd30,A Comic Viewer,1.4.1.4,"Brilliant Excellent app easy to use. Customisable controls make resizing on phone simple. To people with unable to read error, it's a cbr file format issue. Convert file to cbz and it will work fine.",A Google User,25/11/12,5,INFORMATION_GIVING,,APP USABILITY,ERROR,,,,
5789398b819cb7066ab3fd2e,A Comic Viewer,1.4.1.4,"S'ok Randomly crashes saying it cant load a page. Then it will say """"this generally..."""" and thats it.",Ash John,29/11/12,2,OTHER,,ERROR,,,,,
5789398b819cb7066ab3fd2f,A Comic Viewer,1.4.1.4,Some bugs. Sometimes images don't load correctly and appear as blank grey at the bottom. I'm not sure what this is about.,A Google User,29/11/12,4,OTHER,,ERROR,,,,,
57893988819cb7066ab3fd2d,A Comic Viewer,1.4.1.4,"Petty good, but few hiccups. This is an awesome reader. Every now and then ill get some kind of error trying to load certain files, but when that happens I just usually use an alternative reader. I'll be updating to the premium version for the hell of it.",Alvaro Garcia,30/11/12,4,OTHER,PRICING,ERROR,LICENSING,,,,
57893988819cb7066ab3fd2c,A Comic Viewer,1.4.1.4,No menu button Seems like a good app. I paid for the premium and I can't even bring up a menu.,Bobby Barna,01/12/12,2,INFORMATION_GIVING,PRICING,UI,LICENSING,ERROR,,,
57893988819cb7066ab3fd2b,A Comic Viewer,1.4.1.4,Memory error Keep getting a memory error on my s3...,Chad McQueen,03/12/12,4,INFORMATION_GIVING,,MEMORY,DEVICE,ERROR,,,
57893985819cb7066ab3fd2a,A Comic Viewer,1.4.1.4,Great Just greaaaat. :),A Google User,04/12/12,5,OTHER,,MEMORY,DEVICE,ERROR,,,
57893985819cb7066ab3fd27,A Comic Viewer,1.4.1.4,"Haven't used any others... But I don't plan on it, this one has been great and real easy to use I highly recomend it",ian roos,05/12/12,5,INFORMATION_GIVING,,APP USABILITY,,,,,
57893985819cb7066ab3fd28,A Comic Viewer,1.4.1.4,So far Not had any problems yet Only gripe is when I go to the next page of comic and it zooms in. But doesn't ruin it :-),Laura Lee Woods,05/12/12,5,OTHER,,OTHER,,,,,
57893985819cb7066ab3fd29,A Comic Viewer,1.4.1.4,No SD card support Was really good but now I can't view my SD card anymore... please fix,A Google User,05/12/12,1,INFORMATION_GIVING,,HARDWARE,ERROR,,,,
57893982819cb7066ab3fd26,A Comic Viewer,1.4.1.4,Sucks Way to many errors,A Google User,09/12/12,1,OTHER,,ERROR,,,,,
57893982819cb7066ab3fd25,A Comic Viewer,1.4.1.4,"Keeps Crashing Same problem that everyone else is having. """"Opps"""" error has ruined any goodwill I had toward this app.",Todd Carnley,10/12/12,1,OTHER,,ERROR,,,,,
57893982819cb7066ab3fd24,A Comic Viewer,1.4.1.4,Frequent error messages It is so frustrating when one of those 'oops' messages come up. It seems to be happening more frequently. Please fix this,Julia Jeon,11/12/12,2,PROBLEM_DISCOVERY,,ERROR,,,,,
5789397f819cb7066ab3fd22,A Comic Viewer,1.4.1.4,Genial Recomendable para leer cÃ_mics. Ideal para tabletas. Sgs3,Matias Larango,12/12/12,5,OTHER,,OTHER,,,,,
57893982819cb7066ab3fd23,A Comic Viewer,1.4.1.4,Realy great Perfect for reading commics!,Zarko Stamenkovic,12/12/12,5,OTHER,,OTHER,,,,,
5789397f819cb7066ab3fd21,A Comic Viewer,1.4.1.4,"4/5 rans out of memory on larger comics, and sometimes zoom chages between pages, other thab that, works fine",A Google User,13/12/12,4,OTHER,,MEMORY,APP USABILITY,ERROR,,,
57893972819cb7066ab3fd1e,A Comic Viewer,1.4.1.4,"bad really really bad , Komik is much much better and no ads , and smaller in size and u can actually find it in the ur android market . you can even set your main comic folder.",Mohammad Omar,16/12/12,1,OTHER,,LICENSING,PERFORMANCE,,,,
57893972819cb7066ab3fd1f,A Comic Viewer,1.4.1.4,Ok Very messy looking interface. Not intuitive. Wide range of options for viewing your comics though.,Matthew Wallace,16/12/12,3,OTHER,,APP USABILITY,ERROR,UI,,,
57893972819cb7066ab3fd20,A Comic Viewer,1.4.1.4,Poor Would not read sd card. Useless.,Gary Dymock,16/12/12,1,OTHER,,HARDWARE,ERROR,,,,
57893972819cb7066ab3fd1d,A Comic Viewer,1.4.1.4,"Muito bom!! Recomendo, um Ã_timo visualizador de HQ's para tablet!",Gustavo Possatti,19/12/12,5,OTHER,,OTHER,,,,,
5789396f819cb7066ab3fd1c,A Comic Viewer,1.4.1.4,"Needs a LOT of work! Far too many """"memory"""" issues",Dani Thornton,20/12/12,2,OTHER,,MEMORY,ERROR,,,,
5789396f819cb7066ab3fd1b,A Comic Viewer,1.4.1.4,Crashing Keeps crashing mid comic,Sebastian Zapata,21/12/12,1,INFORMATION_GIVING,,ERROR,,,,,
5789396a819cb7066ab3fd19,A Comic Viewer,1.4.1.4,Good app! Good app!,Adam Sheppard,22/12/12,4,OTHER,,OTHER,,,,,
5789396f819cb7066ab3fd1a,A Comic Viewer,1.4.1.4,"Good, but needs update I liked this reader a while back, but since I started managing my files via Google Drive rather than transferring files back and forth to the SD Card I noticed that this app does not work. It needs to register a URL handler for .cbz and .cbr files. For now I uninstalled and switched to Perfect Viewer.",Archimedes Trajano,22/12/12,3,OTHER,,HARDWARE,ERROR,,,,
5789396a819cb7066ab3fd17,A Comic Viewer,1.4.1.4,"Needs to change screen orientation Works well. Didn't get much error messages, but I can't change the screen orientation when my device is rotated.",Juan Valerio,24/12/12,4,INFORMATION_GIVING,,ERROR,,,,,
5789396a819cb7066ab3fd18,A Comic Viewer,1.4.1.4,Excelent Best comic viewer:-),Keith Hedger,24/12/12,5,OTHER,,OTHER,,,,,
57893968819cb7066ab3fd15,A Comic Viewer,1.4.1.4,Very bad Bad due fails to load comic due to out of memory error,Larry Kalis,25/12/12,1,INFORMATION_GIVING,,MEMORY,ERROR,,,,
5789396a819cb7066ab3fd16,A Comic Viewer,1.4.1.4,"Could only handle small sized file Force closed when opening big sized cbr file. It's working very well actually. Open up a file, pinch zoom, next/previous page button.",Udayalaksmanakartiyasa Halim,25/12/12,3,OTHER,,UI,PERFORMANCE,ERROR,,,
57893968819cb7066ab3fd14,A Comic Viewer,1.4.1.4,Out of memory error,Amboy Suarez,27/12/12,3,OTHER,,MEMORY,ERROR,,,,
57893968819cb7066ab3fd13,A Comic Viewer,1.4.1.4,Worked well...What happened? I had used this app to read comics on my Nexus 7 for the last couple months but now suddenly I keep running into problems where a few pages in and an error prompt comes up. A nearly flawless app now suddenly unable to read anything entirely.,Josh Prentice,31/12/12,3,OTHER,,DEVICE,ERROR,,,,
57893968819cb7066ab3fd12,A Comic Viewer,1.4.1.4,Nice,Sourabh Kumar,03/01/13,4,OTHER,,OTHER,,,,,
57893964819cb7066ab3fd11,A Comic Viewer,1.4.1.4,"Error message I want to give this five stars. This is such an awesome reader, but the fact that I get nothing but memory errors is a bit irritating. Pretty convinced it is the apparently itself because I have way too much memory. Heh",salsasharklexi,05/01/13,3,OTHER,,MEMORY,ERROR,,,,
5789395f819cb7066ab3fd0f,A Comic Viewer,1.4.1.4,Good Nine,Sukhdeep Singh,06/01/13,5,OTHER,,OTHER,,,,,
57893964819cb7066ab3fd10,A Comic Viewer,1.4.1.4,"Slightly better than Onion Comic Viewer In my quest to find a functional comic viewer I ran across ACV. While this program has better page and comic selection navigation it suffers with numerous crashes, just the same as Onion Comic Viewer. It especially fails with graphic novels, which are typically larger files than regular comics. It starts to read until it reaches ""maximum memory"" (about page 32) then crashes every time I tried to open to the next page. This occurred at almost the same point with larger comics. I have since moved to Comic Rack which has not crashed once, can read very large files and has amazing navigation features.",David Porter,06/01/13,3,OTHER,,UI,ERROR,MEMORY,,,
5789395f819cb7066ab3fd0d,A Comic Viewer,1.4.1.4,Nice but.... Sometimes it doesnt read the whole comic and its anoying,Juan Gonzalez,10/01/13,3,OTHER,,ERROR,,,,,
5789395f819cb7066ab3fd0e,A Comic Viewer,1.4.1.4,"Sad... Its the second time i download this app... my galaxy s2 and wont open i tap on logo pops menu only options are 'share, open, settings' if i go open just goes to my sdcard memory stuff..",A Google User,10/01/13,1,OTHER,,DEVICE,UI,HARDWARE,,,
5789395f819cb7066ab3fd0c,A Comic Viewer,1.4.1.4,Greate app!,HÃ  Nguyá»…n Trung,11/01/13,4,OTHER,,OTHER,,,,,
5789395c819cb7066ab3fd0b,A Comic Viewer,1.4.1.4,Great! Not perfect but still very good!,Jersson Gomez,13/01/13,5,OTHER,,OTHER,,,,,
5789395c819cb7066ab3fd0a,A Comic Viewer,1.4.1.4,Totally 100% Tolomus approved really great for hardcore comic fans even for new ones. Best apps ever. Easy to navigate. zoom read etc,tolom karam,14/01/13,5,OTHER,,UI,APP USABILITY,,,,
57893959819cb7066ab3fd07,A Comic Viewer,1.4.1.4,"Brilliant Works great on my galaxy tab 2. You can set the screen size to whatever suits you best, and it reads from the external card. Works with cbr and cbz files, I have really enjoyed reading some old DC comics that made me feel quite nostalgic. Cant beat it seeing as its free!",Matt Brooks,17/01/13,5,INFORMATION_GIVING,,DEVICE,HARDWARE,LICENSING,,PRICE,
5789395c819cb7066ab3fd08,A Comic Viewer,1.4.1.4,Frustrating Menu keeps coming up while scrolling. Gestures don't always work correctly. Looks good and clean but jittery and buggy in my experience.,Nathan Leon,17/01/13,2,OTHER,,UI,APP USABILITY,ERROR,,,
5789395c819cb7066ab3fd09,A Comic Viewer,1.4.1.4,Good application it will be better if you make your app more smooth and add previews for each pics when locate the pages,Ran Bao,17/01/13,4,FEATURE_REQUEST,,APP USABILITY,,,,,
57893959819cb7066ab3fd06,A Comic Viewer,1.4.1.4,"Ugly Interface Startup interface doesn't utilize screen space well at all. Corrupt file/memory errors are more common than you'd expect. Other readers read the same files perfectly. Overall a decent app that can work, just not always.",Jake Sinkey,18/01/13,3,OTHER,,UI,MEMORY,ERROR,,,
57893955819cb7066ab3fd05,A Comic Viewer,1.4.1.4,"Well, When It Works It works beautifully, if it does at all.",lazy bhikkhu,19/01/13,1,OTHER,,OTHER,,,,,
57893955819cb7066ab3fd02,A Comic Viewer,1.4.1.4,I don't understand Started out great now always getting low or out of memory error. Got it set to low memory still doing it. Have over 2gb on phone free what's up????,Greg Damron,22/01/13,1,OTHER,RESSOURCES,MEMORY,HARDWARE,ERROR,y,,
57893955819cb7066ab3fd03,A Comic Viewer,1.4.1.4,"So close, so far Works great except for the out of memory errors. Restarting the app or even my device makes no change.",Ian Both,22/01/13,2,OTHER,,MEMORY,ERROR,,,,
57893955819cb7066ab3fd04,A Comic Viewer,1.4.1.4,doesnt read from SD Card on my tablet doesnt read from SD Card on my tablet just reads from internal memory,Sudeb Sarkar,22/01/13,2,INFORMATION_SEEKING,,HARDWARE,MEMORY,ERROR,,,
57893952819cb7066ab3fd01,A Comic Viewer,1.4.1.4,"Out of memory error It's quite useless as I always get the out of memory error eventually, which doesn't happen with other apps.",Semir Begovic,24/01/13,1,OTHER,,MEMORY,ERROR,,,,
57893952819cb7066ab3fd00,A Comic Viewer,1.4.1.4,My nexus 7 is more also showing out of memory :(,monikiebam lopez,28/01/13,2,OTHER,,DEVICE,MEMORY,ERROR,,,
57893952819cb7066ab3fcff,A Comic Viewer,1.4.1.4,"Great little comic viewing app. Does the job nicely. Simple unobtrusive controls. Clear display. 7 inch tablet is just big enough for reading comics without eyestrain, and it's easy to zoom in to the detail.",Jason King,30/01/13,4,OTHER,,APP USABILITY,UI,DEVICE,,,
5789394f819cb7066ab3fcfe,A Comic Viewer,1.4.1.4,Slow Very slow,Hoo-Man Wong,03/02/13,1,OTHER,,PERFORMANCE,ERROR,,,,
5789394f819cb7066ab3fcfd,A Comic Viewer,1.4.1.4,! Can't load some of pages,Reza Eb,06/02/13,3,INFORMATION_GIVING,,ERROR,,,,,
5789394f819cb7066ab3fcfb,A Comic Viewer,1.4.1.4,Complex and clunky,Dirk Bergstrom,08/02/13,2,OTHER,,APP USABILITY,,,,,
5789394f819cb7066ab3fcfc,A Comic Viewer,1.4.1.4,Great A great comic reader.,Philip Johnson,08/02/13,5,OTHER,,OTHER,,,,,
5789394d819cb7066ab3fcf9,A Comic Viewer,1.4.1.4,Frequently crashes (OOM) Frequently crashes with an out of memory message.,Chris Michaels,09/02/13,1,PROBLEM_DISCOVERY,,MEMORY,ERROR,,,,
5789394d819cb7066ab3fcfa,A Comic Viewer,1.4.1.4,Crashes Application crashes frequently with a message telling me to close and reopen it. Seems a but ridiculous to me.,Jeff Ewasiuk,09/02/13,1,OTHER,,ERROR,,,,,
5789393f819cb7066ab3fcf7,A Comic Viewer,1.4.1.4,Perfect Simple and efficient,Brian Andrade,12/02/13,5,OTHER,,APP USABILITY,,,,,
5789394d819cb7066ab3fcf8,A Comic Viewer,1.4.1.4,"problemas con archivos me gustaba mucho la aplicaciÃ_n en el celular, pero hay algunos archivos que por una sola hoja cierra todo y dice que hay error, con varios me ha sucedido lo mismo. si lo pueden arreglar, que me parece genial la aplicacion",A Google User,12/02/13,3,OTHER,,OTHER,,,,,
5789393f819cb7066ab3fcf6,A Comic Viewer,1.4.1.4,Let down by memory errors When the app works it's great. Lightweight and unobtrusive. However I get the memory error far too often. Therefore I need an alternative.,Gavin Clark,14/02/13,2,INFORMATION_GIVING,,APP USABILITY,MEMORY,ERROR,,,
